index,position_x,position_y,position_z,pitchx,pitchy,cablelength(M),BulbCables,BulbZ,lineid,ID,Universe
0,0.252,-1.468,3.137,0.250,0.300,6.687,2.086,-2.086,0,0,0
1,0.502,-1.468,3.137,0.250,0.300,6.622,1.864,-1.864,0,1,0
2,0.752,-1.468,3.137,0.250,0.300,6.565,1.618,-1.618,0,2,0
3,1.002,-1.468,3.137,0.250,0.300,6.539,1.382,-1.382,0,3,0
4,1.252,-1.468,3.137,0.250,0.300,6.578,1.200,-1.200,0,4,0
5,1.502,-1.468,3.137,0.250,0.300,6.708,1.100,-1.100,0,5,0
6,1.752,-1.468,3.137,0.250,0.300,6.942,1.101,-1.101,0,6,0
7,2.002,-1.468,3.137,0.250,0.300,7.283,1.204,-1.204,0,7,0
8,2.252,-1.468,3.137,0.250,0.300,7.714,1.395,-1.395,0,8,0
9,2.502,-1.468,3.137,0.250,0.300,8.166,1.606,-1.606,0,9,0
10,2.752,-1.468,3.137,0.250,0.300,8.560,1.757,-1.757,0,10,0
11,3.002,-1.468,3.137,0.250,0.300,8.845,1.797,-1.797,0,11,0
12,0.377,-1.168,3.137,0.250,0.300,6.626,1.952,-1.952,1,12,0
13,0.627,-1.168,3.137,0.250,0.300,6.555,1.706,-1.706,1,13,0
14,0.877,-1.168,3.137,0.250,0.300,6.510,1.459,-1.459,1,14,0
15,1.127,-1.168,3.137,0.250,0.300,6.516,1.249,-1.249,1,15,0
16,1.377,-1.168,3.137,0.250,0.300,6.603,1.110,-1.110,1,16,0
17,1.627,-1.168,3.137,0.250,0.300,6.784,1.060,-1.060,1,17,0
18,1.877,-1.168,3.137,0.250,0.300,7.061,1.101,-1.101,1,18,0
19,2.127,-1.168,3.137,0.250,0.300,7.433,1.234,-1.234,1,19,0
20,2.377,-1.168,3.137,0.250,0.300,7.857,1.417,-1.417,1,20,0
21,2.627,-1.168,3.137,0.250,0.300,8.267,1.585,-1.585,1,21,0
22,2.877,-1.168,3.137,0.250,0.300,8.602,1.676,-1.676,1,22,0
23,0.252,-0.868,3.137,0.250,0.300,6.675,2.073,-2.073,2,23,0
24,0.502,-0.868,3.137,0.250,0.300,6.581,1.823,-1.823,2,24,0
25,0.752,-0.868,3.137,0.250,0.300,6.504,1.556,-1.556,2,25,0
26,1.002,-0.868,3.137,0.250,0.300,6.465,1.308,-1.308,2,26,0
27,1.252,-0.868,3.137,0.250,0.300,6.501,1.123,-1.123,2,27,0
28,1.502,-0.868,3.137,0.250,0.300,6.631,1.023,-1.023,2,28,0
29,1.752,-0.868,3.137,0.250,0.300,6.859,1.017,-1.017,2,29,0
30,2.002,-0.868,3.137,0.250,0.300,7.174,1.095,-1.095,2,30,0
31,2.252,-0.868,3.137,0.250,0.300,7.557,1.238,-1.238,2,31,0
32,2.502,-0.868,3.137,0.250,0.300,7.959,1.398,-1.398,2,32,0
33,2.752,-0.868,3.137,0.250,0.300,8.323,1.519,-1.519,2,33,0
34,3.002,-0.868,3.137,0.250,0.300,8.615,1.567,-1.567,2,34,0
35,0.377,-0.568,3.137,0.250,0.300,6.647,1.973,-1.973,3,35,0
36,0.627,-0.568,3.137,0.250,0.300,6.540,1.691,-1.691,3,36,0
37,0.877,-0.568,3.137,0.250,0.300,6.451,1.400,-1.400,3,37,0
38,1.127,-0.568,3.137,0.250,0.300,6.421,1.154,-1.154,3,38,0
39,1.377,-0.568,3.137,0.250,0.300,6.490,0.997,-0.997,3,39,0
40,1.627,-0.568,3.137,0.250,0.300,6.667,0.943,-0.943,3,40,0
41,1.877,-0.568,3.137,0.250,0.300,6.935,0.975,-0.975,3,41,0
42,2.127,-0.568,3.137,0.250,0.300,7.276,1.078,-1.078,3,42,0
43,2.377,-0.568,3.137,0.250,0.300,7.653,1.214,-1.214,3,43,0
44,2.627,-0.568,3.137,0.250,0.300,8.022,1.340,-1.340,3,44,0
45,2.877,-0.568,3.137,0.250,0.300,8.344,1.418,-1.418,3,45,0
46,0.252,-0.268,3.137,0.250,0.300,6.739,2.137,-2.137,4,46,0
47,0.502,-0.268,3.137,0.250,0.300,6.622,1.864,-1.864,4,47,0
48,0.752,-0.268,3.137,0.250,0.300,6.490,1.543,-1.543,4,48,0
